"","Indicator","Urban","Rural","Total","NFHS4","state","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"1","1. Female population age 6 years and above who ever attended school (%)",86.5,81.8,83.5,84.7,"Andaman & Nicobar Islands","","","",""
"2","2. Population below age 15 years (%)",22.7,19.7,20.8,23.9,"Andaman & Nicobar Islands","","","",""
"3","3. Sex ratio of the total population (females per 1,000 males)",1023,929,963,977,"Andaman & Nicobar Islands","","","",""
"4","4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",941,891,914,859,"Andaman & Nicobar Islands","","","",""
"5","5. Children under age 5 years whose birth was registered with the civil authority (%)",96.9,97.8,97.4,97.9,"Andaman & Nicobar Islands","","","",""
"6","6. Deaths in the last 3 years registered with the civil authority (%)",94.8,88.8,90.9,NA,"Andaman & Nicobar Islands","Based on 25-49 unweighted cases","","",""
"7","7. Population living in households with electricity (%)",99.5,96.5,97.6,97.2,"Andaman & Nicobar Islands","","","",""
"8","8. Population living in households with an improved drinking-water source1 (%)",98,95.3,96.3,95,"Andaman & Nicobar Islands","","","",""
"9","9. Population living in households that use an improved sanitation facility2 (%)",88,88,88,75.4,"Andaman & Nicobar Islands","","","",""
"10","10. Households using clean fuel for cooking3 (%)",95.6,71,79.8,63.5,"Andaman & Nicobar Islands","","","",""
"11","11. Households using iodized salt (%)",99.7,99.7,99.7,99.3,"Andaman & Nicobar Islands","","","",""
"12","12. Households with any usual member covered under a health insurance/financing scheme (%)",1.4,1.6,1.6,5.7,"Andaman & Nicobar Islands","","","",""
"13","13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",NA,33.7,42.6,NA,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"14","14. Women who are literate4 (%)",86.6,85.6,86,NA,"Andaman & Nicobar Islands","","","",""
"15","15. Men who are literate4 (%)",89.3,94.7,92.5,NA,"Andaman & Nicobar Islands","","","",""
"16","16. Women with 10 or more years of schooling (%)",59.7,47.6,52.5,49.1,"Andaman & Nicobar Islands","","","",""
