"Indicator","Urban","Rural","Total","NFHS4","state","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"1. Female population age 6 years and above who ever attended school (%)",86.5,81.8,83.5,84.7,"Andaman & Nicobar Islands",NA,NA,NA,NA
"2. Population below age 15 years (%)",22.7,19.7,20.8,23.9,"Andaman & Nicobar Islands",NA,NA,NA,NA
"3. Sex ratio of the total population (females per 1,000 males)",1023,929,963,977,"Andaman & Nicobar Islands",NA,NA,NA,NA
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",941,891,914,859,"Andaman & Nicobar Islands",NA,NA,NA,NA
"5. Children under age 5 years whose birth was registered with the civil authority (%)",96.9,97.8,97.4,97.9,"Andaman & Nicobar Islands",NA,NA,NA,NA
"6. Deaths in the last 3 years registered with the civil authority (%)",94.8,88.8,90.9,NA,"Andaman & Nicobar Islands","Based on 25-49 unweighted cases",NA,NA,NA
"7. Population living in households with electricity (%)",99.5,96.5,97.6,97.2,"Andaman & Nicobar Islands",NA,NA,NA,NA
"8. Population living in households with an improved drinking-water source1 (%)",98,95.3,96.3,95,"Andaman & Nicobar Islands",NA,NA,NA,NA
"9. Population living in households that use an improved sanitation facility2 (%)",88,88,88,75.4,"Andaman & Nicobar Islands",NA,NA,NA,NA
"10. Households using clean fuel for cooking3 (%)",95.6,71,79.8,63.5,"Andaman & Nicobar Islands",NA,NA,NA,NA
"11. Households using iodized salt (%)",99.7,99.7,99.7,99.3,"Andaman & Nicobar Islands",NA,NA,NA,NA
"12. Households with any usual member covered under a health insurance/financing scheme (%)",1.4,1.6,1.6,5.7,"Andaman & Nicobar Islands",NA,NA,NA,NA
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",NA,33.7,42.6,NA,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"14. Women who are literate4 (%)",86.6,85.6,86,NA,"Andaman & Nicobar Islands",NA,NA,NA,NA
"15. Men who are literate4 (%)",89.3,94.7,92.5,NA,"Andaman & Nicobar Islands",NA,NA,NA,NA
"16. Women with 10 or more years of schooling (%)",59.7,47.6,52.5,49.1,"Andaman & Nicobar Islands",NA,NA,NA,NA
"17. Men with 10 or more years of schooling (%)",59.4,47.7,52.3,52.6,"Andaman & Nicobar Islands",NA,NA,NA,NA
"18. Women who have ever used the internet (%)",44.1,27.9,34.8,NA,"Andaman & Nicobar Islands",NA,NA,NA,NA
"19. Men who have ever used the internet (%)",54.6,41.1,46.5,NA,"Andaman & Nicobar Islands",NA,NA,NA,NA
"20. Women age 20-24 years married before age 18 years (%)",17.4,15.3,16.2,16.4,"Andaman & Nicobar Islands",NA,NA,NA,NA
"21. Men age 25-29 years married before age 21 years (%)",NA,5.8,7.1,9.7,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases",NA
"22. Total fertility rate (children per woman)",1.4,1.2,1.3,1.4,"Andaman & Nicobar Islands",NA,NA,NA,NA
"23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",1.5,4,3,4.7,"Andaman & Nicobar Islands",NA,NA,NA,NA
"24. Adolescent fertility rate for women age 15-19 years5",36,13,22,28,"Andaman & Nicobar Islands",NA,NA,NA,NA
"25. Neonatal mortality rate (NNMR)",NA,2.8,12.3,7.3,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases",NA
"26. Infant mortality rate (IMR)",NA,8.4,20.6,9.8,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases",NA
"27. Under-five mortality rate (U5MR)",NA,9.5,24.5,13,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases",NA
"28. Any method6 (%)",54.4,73.4,65.8,50.8,"Andaman & Nicobar Islands",NA,NA,NA,NA
"29. Any modern method6 (%)",48.5,63.9,57.7,48.3,"Andaman & Nicobar Islands",NA,NA,NA,NA
"30. Female sterilization (%)",31,44.6,39.2,39.9,"Andaman & Nicobar Islands",NA,NA,NA,NA
"31. Male sterilization (%)",0,0.3,0.2,0,"Andaman & Nicobar Islands",NA,NA,NA,NA
"32. IUD/PPIUD (%)",2.2,5,3.9,2.1,"Andaman & Nicobar Islands",NA,NA,NA,NA
"33. Pill (%)",2.2,4.5,3.6,2.2,"Andaman & Nicobar Islands",NA,NA,NA,NA
"34. Condom (%)",12.1,8.2,9.8,4.2,"Andaman & Nicobar Islands",NA,NA,NA,NA
"35. Injectables (%)",0.5,0.1,0.3,0,"Andaman & Nicobar Islands",NA,NA,NA,NA
"36. Total unmet need7 (%)",18.3,10.3,13.5,15.5,"Andaman & Nicobar Islands",NA,NA,NA,NA
"37. Unmet need for spacing7 (%)",8.8,4.3,6.1,8.1,"Andaman & Nicobar Islands",NA,NA,NA,NA
"38. Health worker ever talked to female non-users about family planning (%)",30.1,31,30.6,37.2,"Andaman & Nicobar Islands",NA,NA,NA,NA
"39. Current users ever told about side effects of current method8 (%)",88,80.5,83.4,66.4,"Andaman & Nicobar Islands","Based on 25-49 unweighted cases",NA,NA,NA
"40. Mothers who had an antenatal check-up in the first trimester (%)",81.2,73.5,77.1,68.4,"Andaman & Nicobar Islands",NA,NA,NA,NA
"41. Mothers who had at least 4 antenatal care visits (%)",86,81,83.4,92.1,"Andaman & Nicobar Islands",NA,NA,NA,NA
"42. Mothers whose last birth was protected against neonatal tetanus9 (%)",92.8,89,90.8,91.8,"Andaman & Nicobar Islands",NA,NA,NA,NA
"43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",81.2,80.7,80.9,58.4,"Andaman & Nicobar Islands",NA,NA,NA,NA
"44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",64.8,41,52.1,33.7,"Andaman & Nicobar Islands",NA,NA,NA,NA
"45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",100,97.9,98.9,97.7,"Andaman & Nicobar Islands",NA,NA,NA,NA
"46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",89.4,88.5,88.9,75,"Andaman & Nicobar Islands",NA,NA,NA,NA
"47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",4230,2089,2924,1278,"Andaman & Nicobar Islands",NA,NA,NA,NA
"48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,NA,NA,NA,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",90,91.8,91,NA,"Andaman & Nicobar Islands",NA,NA,NA,NA
"50. Institutional births (%)",99.2,98.7,99,96.4,"Andaman & Nicobar Islands",NA,NA,NA,NA
"51. Institutional births in public facility (%)",81.8,92.1,87.3,92,"Andaman & Nicobar Islands",NA,NA,NA,NA
"52. Home births that were conducted by skilled health personnel10 (%)",0,0.4,0.2,1,"Andaman & Nicobar Islands",NA,NA,NA,NA
"53. Births attended by skilled health personnel10 (%)",96.7,97.8,97.3,97.2,"Andaman & Nicobar Islands",NA,NA,NA,NA
"54. Births delivered by caesarean section (%)",40.8,20.2,29.9,19.3,"Andaman & Nicobar Islands",NA,NA,NA,NA
"55. Births in a private health facility that were delivered by caesarean section (%)",NA,NA,79.2,NA,"Andaman & Nicobar Islands","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
