"state","Indicator","Urban","Rural","Total","NFHS4","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"INDIA","1. Female population age 6 years and above who ever attended school (%)",82.5,66.8,71.8,68.8,"","","",""
"INDIA","2. Population below age 15 years (%)",23.1,28.1,26.5,28.6,"","","",""
"INDIA","3. Sex ratio of the total population (females per 1,000 males)",985,1037,1020,991,"","","",""
"INDIA","4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",924,931,929,919,"","","",""
"INDIA","5. Children under age 5 years whose birth was registered with the civil authority (%)",93.3,87.5,89.1,79.7,"","","",""
"INDIA","6. Deaths in the last 3 years registered with the civil authority (%)",83.2,65.8,70.8,NA,"","","",""
"INDIA","7. Population living in households with electricity (%)",99.1,95.7,96.8,88,"","","",""
"INDIA","8. Population living in households with an improved drinking-water source1 (%)",98.7,94.6,95.9,94.4,"","","",""
"INDIA","9. Population living in households that use an improved sanitation facility2 (%)",81.5,64.9,70.2,48.5,"","","",""
"INDIA","10. Households using clean fuel for cooking3 (%)",89.7,43.2,58.6,43.8,"","","",""
"INDIA","11. Households using iodized salt (%)",96.9,93,94.3,93.1,"","","",""
"INDIA","12. Households with any usual member covered under a health insurance/financing scheme (%)",38.1,42.4,41,28.7,"","","",""
"INDIA","13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",18.1,12,13.6,NA,"","","",""
"INDIA","14. Women who are literate4 (%)",83,65.9,71.5,NA,"","","",""
"INDIA","15. Men who are literate4 (%)",89.6,81.5,84.4,NA,"","","",""
"INDIA","16. Women with 10 or more years of schooling (%)",56.3,33.7,41,35.7,"","","",""
"INDIA","17. Men with 10 or more years of schooling (%)",62.1,43.7,50.2,47.1,"","","",""
"INDIA","18. Women who have ever used the internet (%)",51.8,24.6,33.3,NA,"","","",""
"INDIA","19. Men who have ever used the internet (%)",72.5,48.7,57.1,NA,"","","",""
"INDIA","20. Women age 20-24 years married before age 18 years (%)",14.7,27,23.3,26.8,"","","",""
"INDIA","21. Men age 25-29 years married before age 21 years (%)",11.3,21.1,17.7,20.3,"","","",""
"INDIA","22. Total fertility rate (children per woman)",1.6,2.1,2,2.2,"","","",""
"INDIA","23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",3.8,7.9,6.8,7.9,"","","",""
"INDIA","24. Adolescent fertility rate for women age 15-19 years5",27,49,43,51,"","","",""
"INDIA","25. Neonatal mortality rate (NNMR)",18,27.5,24.9,29.5,"","","",""
"INDIA","26. Infant mortality rate (IMR)",26.6,38.4,35.2,40.7,"","","",""
"INDIA","27. Under-five mortality rate (U5MR)",31.5,45.7,41.9,49.7,"","","",""
"INDIA","28. Any method6 (%)",69.3,65.6,66.7,53.5,"","","",""
"INDIA","29. Any modern method6 (%)",58.5,55.5,56.5,47.8,"","","",""
"INDIA","30. Female sterilization (%)",36.3,38.7,37.9,36,"","","",""
"INDIA","31. Male sterilization (%)",0.2,0.3,0.3,0.3,"","","",""
"INDIA","32. IUD/PPIUD (%)",2.7,1.8,2.1,1.5,"","","",""
"INDIA","33. Pill (%)",4.4,5.4,5.1,4.1,"","","",""
"INDIA","34. Condom (%)",13.6,7.6,9.5,5.6,"","","",""
"INDIA","35. Injectables (%)",0.4,0.6,0.6,0.2,"","","",""
"INDIA","36. Total unmet need7 (%)",8.4,9.9,9.4,12.9,"","","",""
"INDIA","37. Unmet need for spacing7 (%)",3.6,4.3,4,5.7,"","","",""
