"Indicator","NFHS5","NFHS4","Flag_NFHS5","Flag_NFHS4","state","district"
"1. Female population age 6 years and above who ever attended school (%)",69.6,64.3,"","","LH","Kargil"
"2. Population below age 15 years (%)",24.5,32.1,"","","LH","Kargil"
"3. Sex ratio of the total population (females per 1,000 males)",975,970,"","","LH","Kargil"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1336,818,"","","LH","Kargil"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",98.5,73.6,"","","LH","Kargil"
"6. Deaths in the last 3 years registered with the civil authority (%)",71.6,NA,"","","LH","Kargil"
"7. Population living in households with electricity (%)",99.1,97.6,"","","LH","Kargil"
"8. Population living in households with an improved drinking-water source1 (%)",90.2,88.2,"","","LH","Kargil"
"9. Population living in households that use an improved sanitation facility2 (%)",42.3,17.9,"","","LH","Kargil"
"10. Households using clean fuel for cooking3 (%)",58.1,43.8,"","","LH","Kargil"
"11. Households using iodized salt (%)",98.6,98.2,"","","LH","Kargil"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",13.6,1.9,"","","LH","Kargil"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",0,NA,"","","LH","Kargil"
"14. Women who are literate4 (%)",77.2,NA,"","","LH","Kargil"
"15. Women with 10 or more years of schooling (%)",50.3,42.8,"","","LH","Kargil"
"16. Women age 20-24 years married before age 18 years (%)",2.5,4.6,"","","LH","Kargil"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",0.4,2.3,"","","LH","Kargil"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",0,0.6,"","","LH","Kargil"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",74.4,50,"","","LH","Kargil"
"20. Any method6 (%)",46.9,62.9,"","","LH","Kargil"
"21. Any modern method6 (%)",41.6,59.3,"","","LH","Kargil"
"22. Female sterilization (%)",14.1,19.9,"","","LH","Kargil"
"23. Male sterilization (%)",0.3,0.1,"","","LH","Kargil"
"24. IUD/PPIUD (%)",5.7,25.4,"","","LH","Kargil"
"25. Pill (%)",6.6,4.6,"","","LH","Kargil"
"26. Condom (%)",8.6,6.9,"","","LH","Kargil"
"27. Injectables (%)",5.1,2,"","","LH","Kargil"
"28. Total unmet need7 (%)",8.8,8.9,"","","LH","Kargil"
"29. Unmet need for spacing7 (%)",4.9,5.4,"","","LH","Kargil"
"30. Health worker ever talked to female non-users about family planning (%)",9.1,7.2,"","","LH","Kargil"
"31. Current users ever told about side effects of current method8 (%)",55.4,25.3,"","","LH","Kargil"
"32. Mothers who had an antenatal check-up in the first trimester (%)",91,82,"","","LH","Kargil"
"33. Mothers who had at least 4 antenatal care visits (%)",88,83.6,"","","LH","Kargil"
"34. Mothers whose last birth was protected against neonatal tetanus9 (%)",93.5,92.1,"","","LH","Kargil"
"35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",19.6,28.6,"","","LH","Kargil"
"36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",12.5,6.3,"","","LH","Kargil"
"37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",99.1,89,"","","LH","Kargil"
"38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",78.3,78.3,"","","LH","Kargil"
"39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",3569,2323,"","","LH","Kargil"
"40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,0,"Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","LH","Kargil"
"41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",74.7,NA,"","","LH","Kargil"
"42. Institutional births (%)",93.7,85.7,"","","LH","Kargil"
"43. Institutional births in public facility (%)",93.7,84.2,"","","LH","Kargil"
"44. Home births that were conducted by skilled health personnel10 (%)",2.6,3.3,"","","LH","Kargil"
"45. Births attended by skilled health personnel10 (%)",95.6,86.6,"","","LH","Kargil"
"46. Births delivered by caesarean section (%)",32,11.1,"","","LH","Kargil"
"47. Births in a private health facility that were delivered by caesarean section (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","LH","Kargil"
"48. Births in a public health facility that were delivered by caesarean section (%)",34.2,12,"","","LH","Kargil"
"49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",87.5,81.9,"Based on 25-49 unweighted cases","","LH","Kargil"
"50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",100,92.5,"Based on 25-49 unweighted cases","","LH","Kargil"
"51. Children age 12-23 months who have received BCG (%)",100,98.9,"Based on 25-49 unweighted cases","","LH","Kargil"
"52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",87.5,86.5,"Based on 25-49 unweighted cases","","LH","Kargil"
"53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",100,89.7,"Based on 25-49 unweighted cases","","LH","Kargil"
"54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",97.4,92.9,"Based on 25-49 unweighted cases","","LH","Kargil"
"55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",31,NA,"Based on 25-49 unweighted cases","","LH","Kargil"
"56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",7.7,NA,"Based on 25-49 unweighted cases","","LH","Kargil"
"57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",100,79.4,"Based on 25-49 unweighted cases","","LH","Kargil"
"58. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",85,76.4,"","","LH","Kargil"
"59. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",100,100,"Based on 25-49 unweighted cases","","LH","Kargil"
"60. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",0,0,"Based on 25-49 unweighted cases","","LH","Kargil"
"61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",6.2,4.1,"","","LH","Kargil"
"62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","LH","Kargil"
"63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","LH","Kargil"
