"Indicator","NFHS5","NFHS4","Flag_NFHS5","Flag_NFHS4","state","district"
"1. Female population age 6 years and above who ever attended school (%)",79.8,NA,"","","GJ","Ahmedabad"
"2. Population below age 15 years (%)",22.1,NA,"","","GJ","Ahmedabad"
"3. Sex ratio of the total population (females per 1,000 males)",928,NA,"","","GJ","Ahmedabad"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",994,NA,"","","GJ","Ahmedabad"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",98.4,NA,"","","GJ","Ahmedabad"
"6. Deaths in the last 3 years registered with the civil authority (%)",96.1,NA,"","","GJ","Ahmedabad"
"7. Population living in households with electricity (%)",99.5,NA,"","","GJ","Ahmedabad"
"8. Population living in households with an improved drinking-water source1 (%)",98.7,NA,"","","GJ","Ahmedabad"
"9. Population living in households that use an improved sanitation facility2 (%)",86.4,NA,"","","GJ","Ahmedabad"
"10. Households using clean fuel for cooking3 (%)",89.7,NA,"","","GJ","Ahmedabad"
"11. Households using iodized salt (%)",98.7,NA,"","","GJ","Ahmedabad"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",36.2,NA,"","","GJ","Ahmedabad"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",6.5,NA,"","","GJ","Ahmedabad"
"14. Women who are literate4 (%)",81.5,NA,"","","GJ","Ahmedabad"
"15. Women with 10 or more years of schooling (%)",42.7,NA,"","","GJ","Ahmedabad"
"16. Women age 20-24 years married before age 18 years (%)",17.5,NA,"","","GJ","Ahmedabad"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",0.5,NA,"","","GJ","Ahmedabad"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",4.4,NA,"","","GJ","Ahmedabad"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",66.4,NA,"","","GJ","Ahmedabad"
"20. Any method6 (%)",79,NA,"","","GJ","Ahmedabad"
"21. Any modern method6 (%)",58.2,NA,"","","GJ","Ahmedabad"
