"Indicator","NFHS5","NFHS4","Flag_NFHS5","Flag_NFHS4","state","district"
"1. Female population age 6 years and above who ever attended school (%)",73.7,82,"","","MH","Raigarh"
"2. Population below age 15 years (%)",21.3,24.4,"","","MH","Raigarh"
"3. Sex ratio of the total population (females per 1,000 males)",1003,924,"","","MH","Raigarh"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",871,794,"","","MH","Raigarh"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",99.7,98,"","","MH","Raigarh"
"6. Deaths in the last 3 years registered with the civil authority (%)",95.3,NA,"","","MH","Raigarh"
"7. Population living in households with electricity (%)",97.9,94.5,"","","MH","Raigarh"
"8. Population living in households with an improved drinking-water source1 (%)",87.8,96.1,"","","MH","Raigarh"
"9. Population living in households that use an improved sanitation facility2 (%)",74.8,73.6,"","","MH","Raigarh"
"10. Households using clean fuel for cooking3 (%)",83.3,75.6,"","","MH","Raigarh"
"11. Households using iodized salt (%)",80.3,93.8,"","","MH","Raigarh"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",26.3,18.9,"","","MH","Raigarh"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",16.7,NA,"","","MH","Raigarh"
"14. Women who are literate4 (%)",79.2,NA,"","","MH","Raigarh"
"15. Women with 10 or more years of schooling (%)",45,49.8,"","","MH","Raigarh"
"16. Women age 20-24 years married before age 18 years (%)",16,19,"","","MH","Raigarh"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",1.3,1.7,"","","MH","Raigarh"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",7.5,5.9,"","","MH","Raigarh"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",89.6,71.6,"","","MH","Raigarh"
"Current Use of Family Planning Methods (currently married women age 15–49 years) 20. Any method6 (%)",73.6,63.6,"","","MH","Raigarh"
"21. Any modern method6 (%)",70.9,60,"","","MH","Raigarh"
"22. Female sterilization (%)",55.1,46.7,"","","MH","Raigarh"
"23. Male sterilization (%)",0,0,"","","MH","Raigarh"
"24. IUD/PPIUD (%)",1.5,3,"","","MH","Raigarh"
"25. Pill (%)",2.2,2.8,"","","MH","Raigarh"
"26. Condom (%)",11.6,6.7,"","","MH","Raigarh"
"27. Injectables (%)",0.2,0.2,"","","MH","Raigarh"
"28. Total unmet need7 (%)",6.1,8.7,"","","MH","Raigarh"
"29. Unmet need for spacing7 (%)",3.4,3.4,"","","MH","Raigarh"
"30. Health worker ever talked to female non-users about family planning (%)",22.4,14.8,"","","MH","Raigarh"
"31. Current users ever told about side effects of current method8 (%)",64.7,32.8,"","","MH","Raigarh"
"32. Mothers who had an antenatal check-up in the first trimester (%)",83.8,61.2,"","","MH","Raigarh"
"33. Mothers who had at least 4 antenatal care visits (%)",83.1,68.9,"","","MH","Raigarh"
"34. Mothers whose last birth was protected against neonatal tetanus9 (%)",96.6,92.6,"","","MH","Raigarh"
"35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",61.6,47.2,"","","MH","Raigarh"
"36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",42.6,27.1,"","","MH","Raigarh"
"37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",98.4,87.1,"","","MH","Raigarh"
"38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",93,64.4,"","","MH","Raigarh"
"39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",1676,3310,"","","MH","Raigarh"
"40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","MH","Raigarh"
"41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",92.9,NA,"","","MH","Raigarh"
"42. Institutional births (%)",96.6,96,"","","MH","Raigarh"
"43. Institutional births in public facility (%)",54.8,46.5,"","","MH","Raigarh"
"44. Home births that were conducted by skilled health personnel10 (%)",1.1,0.7,"","","MH","Raigarh"
"45. Births attended by skilled health personnel10 (%)",97.6,93.7,"","","MH","Raigarh"
"46. Births delivered by caesarean section (%)",26.1,23.3,"","","MH","Raigarh"
"47. Births in a private health facility that were delivered by caesarean section (%)",38.9,22.7,"","","MH","Raigarh"
"48. Births in a public health facility that were delivered by caesarean section (%)",18,26,"","","MH","Raigarh"
"49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",92.3,47.6,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","MH","Raigarh"
"50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",88.3,72,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","MH","Raigarh"
"51. Children age 12-23 months who have received BCG (%)",97.8,94.9,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","MH","Raigarh"
"52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",92.3,50.9,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","MH","Raigarh"
"53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",94.6,84.4,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","MH","Raigarh"
"54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",97.8,92.9,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","MH","Raigarh"
"55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",37.1,NA,"Based on 25-49 unweighted cases","","MH","Raigarh"
"56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",12.8,NA,"Based on 25-49 unweighted cases","","MH","Raigarh"
"57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",91.9,52,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","MH","Raigarh"
"58. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",73.8,77,"","","MH","Raigarh"
"59. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",92.6,79.1,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","MH","Raigarh"
"60. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",7.4,20.9,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","MH","Raigarh"
"61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",3.8,6,"","","MH","Raigarh"
"62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","MH","Raigarh"
"63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","MH","Raigarh"
"64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","MH","Raigarh"
"65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",2.6,7.7,"","","MH","Raigarh"
"66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",82.4,70.2,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","MH","Raigarh"
"67. Children under age 3 years breastfed within one hour of birth15 (%)",52.4,63.6,"","","MH","Raigarh"
"68. Children under age 6 months exclusively breastfed16 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","MH","Raigarh"
"69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","MH","Raigarh"
"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",3.6,5.8,"Based on 25-49 unweighted cases","","MH","Raigarh"
"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","MH","Raigarh"
"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",5.9,8.7,"","","MH","Raigarh"
"73. Children under 5 years who are stunted (height-for-age)18 (%)",35.8,29.9,"","","MH","Raigarh"
"74. Children under 5 years who are wasted (weight-for-height)18 (%)",19.1,28.9,"","","MH","Raigarh"
"75. Children under 5 years who are severely wasted (weight-for-height)19 (%)",8.3,8.5,"","","MH","Raigarh"
"76. Children under 5 years who are underweight (weight-for-age)18 (%)",34.1,38.6,"","","MH","Raigarh"
"77. Children under 5 years who are overweight (weight-for-height)20 (%)",2.1,1.2,"","","MH","Raigarh"
"78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",21.8,21.8,"","","MH","Raigarh"
"79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",23.1,27.3,"","","MH","Raigarh"
"80. Women who have high risk waist-to-hip ratio (≥0.85) (%)",59.3,NA,"","","MH","Raigarh"
"81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",67,53.4,"","","MH","Raigarh"
"82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",53.8,53.1,"","","MH","Raigarh"
"83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",65.7,50.8,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","MH","Raigarh"
"84. All women age 15-49 years who are anaemic22 (%)",54.2,53.1,"","","MH","Raigarh"
"85. All women age 15-19 years who are anaemic22 (%)",61.1,42.4,"","","MH","Raigarh"
"86. Blood sugar level - high (141-160 mg/dl)23 (%)",5.1,NA,"","","MH","Raigarh"
"87. Blood sugar level - very high (>160 mg/dl)23 (%)",5.4,NA,"","","MH","Raigarh"
"88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",11.5,NA,"","","MH","Raigarh"
"89. Blood sugar level - high (141-160 mg/dl)23 (%)",6.5,NA,"","","MH","Raigarh"
"90. Blood sugar level - very high (>160 mg/dl)23 (%)",6.1,NA,"","","MH","Raigarh"
"91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",13.5,NA,"","","MH","Raigarh"
"92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",14.8,NA,"","","MH","Raigarh"
"93. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%)",6.1,NA,"","","MH","Raigarh"
