"Indicator","NFHS5","NFHS4","Flag_NFHS5","Flag_NFHS4","state","district"
"1. Female population age 6 years and above who ever attended school (%)",77.4,75.4,"","","MH","Ahmednagar"
"2. Population below age 15 years (%)",23,25.8,"","","MH","Ahmednagar"
"3. Sex ratio of the total population (females per 1,000 males)",967,905,"","","MH","Ahmednagar"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",845,843,"","","MH","Ahmednagar"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",99.3,93.4,"","","MH","Ahmednagar"
"6. Deaths in the last 3 years registered with the civil authority (%)",85.7,NA,"","","MH","Ahmednagar"
"7. Population living in households with electricity (%)",94.5,93.8,"","","MH","Ahmednagar"
"8. Population living in households with an improved drinking-water source1 (%)",90,90.6,"","","MH","Ahmednagar"
"9. Population living in households that use an improved sanitation facility2 (%)",79.5,52.8,"","","MH","Ahmednagar"
"10. Households using clean fuel for cooking3 (%)",77.4,57.8,"","","MH","Ahmednagar"
"11. Households using iodized salt (%)",95.5,94.9,"","","MH","Ahmednagar"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",12,10,"","","MH","Ahmednagar"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",21.6,NA,"","","MH","Ahmednagar"
"14. Women who are literate4 (%)",86.2,NA,"","","MH","Ahmednagar"
"15. Women with 10 or more years of schooling (%)",45.7,44.7,"","","MH","Ahmednagar"
"16. Women age 20-24 years married before age 18 years (%)",26.9,39,"","","MH","Ahmednagar"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",0.7,2.1,"","","MH","Ahmednagar"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",10.8,13.2,"","","MH","Ahmednagar"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",84.2,60.3,"","","MH","Ahmednagar"
"20. Any method6 (%)",69.5,48.4,"","","MH","Ahmednagar"
"21. Any modern method6 (%)",67.4,47.5,"","","MH","Ahmednagar"
"22. Female sterilization (%)",56.6,40.3,"","","MH","Ahmednagar"
"23. Male sterilization (%)",0,0,"","","MH","Ahmednagar"
"24. IUD/PPIUD (%)",1.7,2.1,"","","MH","Ahmednagar"
"25. Pill (%)",1,1.5,"","","MH","Ahmednagar"
"26. Condom (%)",8,3.4,"","","MH","Ahmednagar"
"27. Injectables (%)",0,0,"","","MH","Ahmednagar"
"28. Total unmet need7 (%)",8.3,12.1,"","","MH","Ahmednagar"
"29. Unmet need for spacing7 (%)",2.6,4,"","","MH","Ahmednagar"
"30. Health worker ever talked to female non-users about family planning (%)",19.5,18.1,"","","MH","Ahmednagar"
"31. Current users ever told about side effects of current method8 (%)",31.7,50,"","","MH","Ahmednagar"
"32. Mothers who had an antenatal check-up in the first trimester (%)",71.4,59.1,"","","MH","Ahmednagar"
"33. Mothers who had at least 4 antenatal care visits (%)",76.6,63.1,"","","MH","Ahmednagar"
"34. Mothers whose last birth was protected against neonatal tetanus9 (%)",91.2,87,"","","MH","Ahmednagar"
"35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",53.3,22.4,"","","MH","Ahmednagar"
"36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",32,5.8,"","","MH","Ahmednagar"
"37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",94.4,90.9,"","","MH","Ahmednagar"
"38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",90.9,80.9,"","","MH","Ahmednagar"
"39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",5575,4851,"","","MH","Ahmednagar"
"40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","MH","Ahmednagar"
"41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",92.9,NA,"","","MH","Ahmednagar"
"42. Institutional births (%)",97.9,93.9,"","","MH","Ahmednagar"
"43. Institutional births in public facility (%)",45.5,43.6,"","","MH","Ahmednagar"
"44. Home births that were conducted by skilled health personnel10 (%)",1,2.7,"","","MH","Ahmednagar"
"45. Births attended by skilled health personnel10 (%)",95,96.2,"","","MH","Ahmednagar"
"46. Births delivered by caesarean section (%)",28.1,16.7,"","","MH","Ahmednagar"
"47. Births in a private health facility that were delivered by caesarean section (%)",33.7,18.9,"","","MH","Ahmednagar"
"48. Births in a public health facility that were delivered by caesarean section (%)",23,16.5,"","","MH","Ahmednagar"
"49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",83.5,42,"","","MH","Ahmednagar"
"50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",88.3,69.7,"","Based on 25-49 unweighted cases","MH","Ahmednagar"
"51. Children age 12-23 months who have received BCG (%)",96.6,94,"","","MH","Ahmednagar"
"52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",87.6,58.8,"","","MH","Ahmednagar"
"53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",92.6,59.3,"","","MH","Ahmednagar"
"54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",93.8,76.7,"","","MH","Ahmednagar"
"55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",43.9,NA,"","","MH","Ahmednagar"
"56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",4.4,NA,"","","MH","Ahmednagar"
"57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",89.3,38.7,"","","MH","Ahmednagar"
"58. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",69.9,77.7,"","","MH","Ahmednagar"
"59. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",93.1,84.5,"","","MH","Ahmednagar"
"60. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",6.9,15.5,"","","MH","Ahmednagar"
"61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",15.9,10.1,"","","MH","Ahmednagar"
"62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",66,47,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","MH","Ahmednagar"
"63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",28.3,11.4,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","MH","Ahmednagar"
"64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",71,81.2,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","MH","Ahmednagar"
"65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",2.7,2.4,"","","MH","Ahmednagar"
"66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",84.2,81.2,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","MH","Ahmednagar"
"67. Children under age 3 years breastfed within one hour of birth15 (%)",50.5,42.5,"","","MH","Ahmednagar"
"68. Children under age 6 months exclusively breastfed16 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","MH","Ahmednagar"
"69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","MH","Ahmednagar"
"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",11.6,3.9,"","","MH","Ahmednagar"
"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","MH","Ahmednagar"
"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",9.8,3.3,"","","MH","Ahmednagar"
"73. Children under 5 years who are stunted (height-for-age)18 (%)",31.7,33.4,"","","MH","Ahmednagar"
"74. Children under 5 years who are wasted (weight-for-height)18 (%)",24.9,21.7,"","","MH","Ahmednagar"
"75. Children under 5 years who are severely wasted (weight-for-height)19 (%)",8.6,4.2,"","","MH","Ahmednagar"
"76. Children under 5 years who are underweight (weight-for-age)18 (%)",41.2,31.1,"","","MH","Ahmednagar"
"77. Children under 5 years who are overweight (weight-for-height)20 (%)",1.8,2.1,"","","MH","Ahmednagar"
"78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",21.5,22.5,"","","MH","Ahmednagar"
"79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",23,18.3,"","","MH","Ahmednagar"
"80. Women who have high risk waist-to-hip ratio (≥0.85) (%)",44.6,NA,"","","MH","Ahmednagar"
"81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",64.5,47.3,"","","MH","Ahmednagar"
"82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",50.5,46.6,"","","MH","Ahmednagar"
"83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",44,35.7,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","MH","Ahmednagar"
"84. All women age 15-49 years who are anaemic22 (%)",50.3,46.1,"","","MH","Ahmednagar"
"85. All women age 15-19 years who are anaemic22 (%)",45,43.2,"","","MH","Ahmednagar"
"86. Blood sugar level - high (141-160 mg/dl)23 (%)",5,NA,"","","MH","Ahmednagar"
"87. Blood sugar level - very high (>160 mg/dl)23 (%)",4.4,NA,"","","MH","Ahmednagar"
"88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",11,NA,"","","MH","Ahmednagar"
"89. Blood sugar level - high (141-160 mg/dl)23 (%)",5.4,NA,"","","MH","Ahmednagar"
"90. Blood sugar level - very high (>160 mg/dl)23 (%)",5.2,NA,"","","MH","Ahmednagar"
"91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",12.5,NA,"","","MH","Ahmednagar"
"92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",13.4,NA,"","","MH","Ahmednagar"
"93. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%)",5.1,NA,"","","MH","Ahmednagar"
"94. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",23.6,NA,"","","MH","Ahmednagar"
"95. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",16,NA,"","","MH","Ahmednagar"
"96. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%)",6.3,NA,"","","MH","Ahmednagar"
"97. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",25.3,NA,"","","MH","Ahmednagar"
"98.Ever undergone a screening test for cervical cancer (%)",1.3,NA,"","","MH","Ahmednagar"
"99.Ever undergone a breast examination for breast cancer (%)",0.2,NA,"","","MH","Ahmednagar"
"100. Ever undergone an oral cavity examination for oral cancer (%)",0.2,NA,"","","MH","Ahmednagar"
"101. Women age 15 years and above who use any kind of tobacco (%)",14.7,NA,"","","MH","Ahmednagar"
"102. Men age 15 years and above who use any kind of tobacco (%)",37.7,NA,"","","MH","Ahmednagar"
"103. Women age 15 years and above who consume alcohol (%)",0.2,NA,"","","MH","Ahmednagar"
