"Indicator","NFHS5","NFHS4","Flag_NFHS5","Flag_NFHS4","state","district"
"1. Female population age 6 years and above who ever attended school (%)",78,77.2,"","","AN","Nicobars"
"2. Population below age 15 years (%)",23,25.4,"","","AN","Nicobars"
"3. Sex ratio of the total population (females per 1,000 males)",973,957,"","","AN","Nicobars"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",927,1060,"","","AN","Nicobars"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",98,99.3,"","","AN","Nicobars"
"6. Deaths in the last 3 years registered with the civil authority (%)",83.2,NA,"","","AN","Nicobars"
"7. Population living in households with electricity (%)",97.9,99.6,"","","AN","Nicobars"
"8. Population living in households with an improved drinking-water source1 (%)",98.8,99.8,"","","AN","Nicobars"
"9. Population living in households that use an improved sanitation facility2 (%)",83.5,85.9,"","","AN","Nicobars"
"10. Households using clean fuel for cooking3 (%)",56.9,39.3,"","","AN","Nicobars"
"11. Households using iodized salt (%)",99.4,99.7,"","","AN","Nicobars"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",2.7,4.3,"","","AN","Nicobars"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",29.5,NA,"Based on 25-49 unweighted cases","","AN","Nicobars"
"14. Women who are literate4 (%)",87.5,NA,"","","AN","Nicobars"
"15. Women with 10 or more years of schooling (%)",53.5,43.7,"","","AN","Nicobars"
"16. Women age 20-24 years married before age 18 years (%)",11.4,8.3,"","","AN","Nicobars"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",0,3,"","","AN","Nicobars"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",1.8,3.8,"","","AN","Nicobars"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",100,96.1,"","","AN","Nicobars"
"20. Any method6 (%)",65.3,38,"","","AN","Nicobars"
"21. Any modern method6 (%)",57.2,37.8,"","","AN","Nicobars"
"22. Female sterilization (%)",46.4,35.6,"","","AN","Nicobars"
"23. Male sterilization (%)",0,0,"","","AN","Nicobars"
"24. IUD/PPIUD (%)",2.7,0,"","","AN","Nicobars"
"25. Pill (%)",2,1.1,"","","AN","Nicobars"
"26. Condom (%)",4.9,1.2,"","","AN","Nicobars"
"27. Injectables (%)",1.2,0,"","","AN","Nicobars"
"28. Total unmet need7 (%)",9.5,18,"","","AN","Nicobars"
"29. Unmet need for spacing7 (%)",3.3,14.2,"","","AN","Nicobars"
"30. Health worker ever talked to female non-users about family planning (%)",40.4,48.1,"","","AN","Nicobars"
"31. Current users ever told about side effects of current method8 (%)",49.4,87.6,"","","AN","Nicobars"
"32. Mothers who had an antenatal check-up in the first trimester (%)",62.8,62,"","","AN","Nicobars"
"33. Mothers who had at least 4 antenatal care visits (%)",71.7,64.9,"","","AN","Nicobars"
"34. Mothers whose last birth was protected against neonatal tetanus9 (%)",78,92.4,"","","AN","Nicobars"
"35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",72.6,19,"","","AN","Nicobars"
"36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",43.9,3,"","","AN","Nicobars"
"37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",97.9,100,"","","AN","Nicobars"
"38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",85.1,74,"","","AN","Nicobars"
"39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",2278,1787,"","","AN","Nicobars"
"40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","Nicobars"
"41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",92.5,NA,"","","AN","Nicobars"
"42. Institutional births (%)",97.8,96.1,"","","AN","Nicobars"
"43. Institutional births in public facility (%)",96.7,96.1,"","","AN","Nicobars"
"44. Home births that were conducted by skilled health personnel10 (%)",0.8,2.9,"","","AN","Nicobars"
"45. Births attended by skilled health personnel10 (%)",98.6,98,"","","AN","Nicobars"
"46. Births delivered by caesarean section (%)",11.5,4.6,"","","AN","Nicobars"
"47. Births in a private health facility that were delivered by caesarean section (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","AN","Nicobars"
"48. Births in a public health facility that were delivered by caesarean section (%)",10.7,4.8,"","","AN","Nicobars"
