"Indicator","NFHS5","NFHS4","Flag_NFHS5","Flag_NFHS4","state","district"
"1. Female population age 6 years and above who ever attended school (%)",97.8,97.2,"","","KL","Alappuzha"
"2. Population below age 15 years (%)",16.6,17.5,"","","KL","Alappuzha"
"3. Sex ratio of the total population (females per 1,000 males)",1108,1101,"","","KL","Alappuzha"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1485,1112,"","","KL","Alappuzha"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",95.3,94.5,"","","KL","Alappuzha"
"6. Deaths in the last 3 years registered with the civil authority (%)",100,NA,"","","KL","Alappuzha"
"7. Population living in households with electricity (%)",99.9,99.6,"","","KL","Alappuzha"
"8. Population living in households with an improved drinking-water source1 (%)",98.4,93.9,"","","KL","Alappuzha"
"9. Population living in households that use an improved sanitation facility2 (%)",99.2,97.2,"","","KL","Alappuzha"
"10. Households using clean fuel for cooking3 (%)",79.2,64.2,"","","KL","Alappuzha"
"11. Households using iodized salt (%)",99.9,98.2,"","","KL","Alappuzha"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",60.4,56,"","","KL","Alappuzha"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",46.8,NA,"Based on 25-49 unweighted cases","","KL","Alappuzha"
"14. Women who are literate4 (%)",99.7,NA,"","","KL","Alappuzha"
"15. Women with 10 or more years of schooling (%)",78.8,73.8,"","","KL","Alappuzha"
"16. Women age 20-24 years married before age 18 years (%)",3.8,1.2,"","","KL","Alappuzha"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",0.6,0,"","","KL","Alappuzha"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",2.9,2.1,"","","KL","Alappuzha"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",93.1,84.2,"","","KL","Alappuzha"
"20. Any method6 (%)",61.5,45.1,"","","KL","Alappuzha"
"21. Any modern method6 (%)",56.9,42.7,"","","KL","Alappuzha"
"22. Female sterilization (%)",49.6,36.5,"","","KL","Alappuzha"
"23. Male sterilization (%)",0.6,0.2,"","","KL","Alappuzha"
"24. IUD/PPIUD (%)",1.3,3.1,"","","KL","Alappuzha"
"25. Pill (%)",0.2,0.3,"","","KL","Alappuzha"
"26. Condom (%)",4.3,2.6,"","","KL","Alappuzha"
"27. Injectables (%)",0,0,"","","KL","Alappuzha"
"28. Total unmet need7 (%)",12.3,17.7,"","","KL","Alappuzha"
"29. Unmet need for spacing7 (%)",6,7.2,"","","KL","Alappuzha"
"30. Health worker ever talked to female non-users about family planning (%)",11,19.2,"","","KL","Alappuzha"
"31. Current users ever told about side effects of current method8 (%)",40.9,50.2,"","","KL","Alappuzha"
"32. Mothers who had an antenatal check-up in the first trimester (%)",85.1,92.4,"","","KL","Alappuzha"
"33. Mothers who had at least 4 antenatal care visits (%)",65.7,79.6,"","","KL","Alappuzha"
"34. Mothers whose last birth was protected against neonatal tetanus9 (%)",87.5,90.9,"","","KL","Alappuzha"
"35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",61,54.3,"","","KL","Alappuzha"
"36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",52,43.1,"","","KL","Alappuzha"
