"Indicator","NFHS5","NFHS4","Flag_NFHS5","Flag_NFHS4","state","district"
"1. Female population age 6 years and above who ever attended school (%)",67.3,62.1,"","","KA","Bagalkot"
"2. Population below age 15 years (%)",26.5,28.2,"","","KA","Bagalkot"
"3. Sex ratio of the total population (females per 1,000 males)",1007,963,"","","KA","Bagalkot"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",879,799,"","","KA","Bagalkot"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",97.8,93.8,"","","KA","Bagalkot"
"6. Deaths in the last 3 years registered with the civil authority (%)",76.8,NA,"","","KA","Bagalkot"
"7. Population living in households with electricity (%)",98.9,97.7,"","","KA","Bagalkot"
"8. Population living in households with an improved drinking-water source1 (%)",99.2,98,"","","KA","Bagalkot"
"9. Population living in households that use an improved sanitation facility2 (%)",51.3,23,"","","KA","Bagalkot"
"10. Households using clean fuel for cooking3 (%)",56.6,29.7,"","","KA","Bagalkot"
"11. Households using iodized salt (%)",81.3,84.6,"","","KA","Bagalkot"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",22.3,37.2,"","","KA","Bagalkot"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",7.1,NA,"","","KA","Bagalkot"
"14. Women who are literate4 (%)",69.7,NA,"","","KA","Bagalkot"
"15. Women with 10 or more years of schooling (%)",37.7,31.7,"","","KA","Bagalkot"
"16. Women age 20-24 years married before age 18 years (%)",38.7,32.2,"","","KA","Bagalkot"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",2,3.1,"","","KA","Bagalkot"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",6.9,12.3,"","","KA","Bagalkot"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",65.9,62.1,"","","KA","Bagalkot"
"20. Any method6 (%)",65.3,54.9,"","","KA","Bagalkot"
"21. Any modern method6 (%)",65.3,54.9,"","","KA","Bagalkot"
"22. Female sterilization (%)",59.2,54.3,"","","KA","Bagalkot"
"23. Male sterilization (%)",0,0,"","","KA","Bagalkot"
"24. IUD/PPIUD (%)",2.2,0.1,"","","KA","Bagalkot"
"25. Pill (%)",2.2,0.3,"","","KA","Bagalkot"
"26. Condom (%)",1.2,0,"","","KA","Bagalkot"
"27. Injectables (%)",0.3,0.2,"","","KA","Bagalkot"
"28. Total unmet need7 (%)",5.8,8.5,"","","KA","Bagalkot"
"29. Unmet need for spacing7 (%)",4,5.4,"","","KA","Bagalkot"
"30. Health worker ever talked to female non-users about family planning (%)",15.8,17.5,"","","KA","Bagalkot"
"31. Current users ever told about side effects of current method8 (%)",51.1,21.6,"","","KA","Bagalkot"
"32. Mothers who had an antenatal check-up in the first trimester (%)",78.2,66.5,"","","KA","Bagalkot"
"33. Mothers who had at least 4 antenatal care visits (%)",76.2,79.7,"","","KA","Bagalkot"
"34. Mothers whose last birth was protected against neonatal tetanus9 (%)",94.2,94.1,"","","KA","Bagalkot"
"35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",32.3,45.1,"","","KA","Bagalkot"
"36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",21.2,23.8,"","","KA","Bagalkot"
"37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",98.7,86.8,"","","KA","Bagalkot"
"38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",89,46.8,"","","KA","Bagalkot"
"39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",4576,2249,"","","KA","Bagalkot"
"40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","KA","Bagalkot"
"41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",86.7,NA,"","","KA","Bagalkot"
"42. Institutional births (%)",95.2,91.6,"","","KA","Bagalkot"
"43. Institutional births in public facility (%)",57.1,56.3,"","","KA","Bagalkot"
"44. Home births that were conducted by skilled health personnel10 (%)",2.8,6.9,"","","KA","Bagalkot"
"45. Births attended by skilled health personnel10 (%)",91.4,98.3,"","","KA","Bagalkot"
"46. Births delivered by caesarean section (%)",31,14.3,"","","KA","Bagalkot"
"47. Births in a private health facility that were delivered by caesarean section (%)",60,29.3,"","","KA","Bagalkot"
"48. Births in a public health facility that were delivered by caesarean section (%)",14.2,7.1,"","","KA","Bagalkot"
"49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",78.6,75.9,"","","KA","Bagalkot"
"50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",79.5,80.9,"","Based on 25-49 unweighted cases","KA","Bagalkot"
"51. Children age 12-23 months who have received BCG (%)",95.5,97.3,"","","KA","Bagalkot"
"52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",84,80.2,"","","KA","Bagalkot"
"53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",92,95.6,"","","KA","Bagalkot"
"54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",93.1,93.8,"","","KA","Bagalkot"
"55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",24,NA,"","","KA","Bagalkot"
"56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",0,NA,"","","KA","Bagalkot"
"57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",84.7,75.9,"","","KA","Bagalkot"
"58. Children age 9-59 months who received a vitamin A dose in the last 6 months (%)",73,90.2,"","","KA","Bagalkot"
"59. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",98.8,91.8,"","","KA","Bagalkot"
"60. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",1.2,8.3,"","","KA","Bagalkot"
"61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",4.3,3.2,"","","KA","Bagalkot"
"62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","KA","Bagalkot"
"63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","KA","Bagalkot"
"64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","KA","Bagalkot"
"65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",3.1,0.5,"","","KA","Bagalkot"
"66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",79.1,NA,"","Percentage not shown; based on fewer than 25 unweighted cases","KA","Bagalkot"
"67. Children under age 3 years breastfed within one hour of birth15 (%)",30.2,61.2,"","","KA","Bagalkot"
"68. Children under age 6 months exclusively breastfed16 (%)",50.4,70.6,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","KA","Bagalkot"
"69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","KA","Bagalkot"
"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",5.1,6.7,"","","KA","Bagalkot"
"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","KA","Bagalkot"
"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",6.1,6.8,"","","KA","Bagalkot"
"73. Children under 5 years who are stunted (height-for-age)18 (%)",48.3,47.3,"","","KA","Bagalkot"
"74. Children under 5 years who are wasted (weight-for-height)18 (%)",16.9,24.6,"","","KA","Bagalkot"
"75. Children under 5 years who are severely wasted (weight-for-height)19 (%)",4.4,8.1,"","","KA","Bagalkot"
"76. Children under 5 years who are underweight (weight-for-age)18 (%)",42.3,44.6,"","","KA","Bagalkot"
"77. Children under 5 years who are overweight (weight-for-height)20 (%)",2.4,2.3,"","","KA","Bagalkot"
"78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",17.1,21.3,"","","KA","Bagalkot"
"79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",28.6,16.6,"","","KA","Bagalkot"
"80. Women who have high risk waist-to-hip ratio (≥0.85) (%)",40.5,NA,"","","KA","Bagalkot"
"81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",63.8,62.6,"","","KA","Bagalkot"
"82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",47.9,39.9,"","","KA","Bagalkot"
"83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",49.5,55.7,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","KA","Bagalkot"
"84. All women age 15-49 years who are anaemic22 (%)",48,40.8,"","","KA","Bagalkot"
"85. All women age 15-19 years who are anaemic22 (%)",50.7,41.9,"","","KA","Bagalkot"
"86. Blood sugar level - high (141-160 mg/dl)23 (%)",5.4,NA,"","","KA","Bagalkot"
"87. Blood sugar level - very high (>160 mg/dl)23 (%)",5.4,NA,"","","KA","Bagalkot"
"88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",11.8,NA,"","","KA","Bagalkot"
"89. Blood sugar level - high (141-160 mg/dl)23 (%)",6,NA,"","","KA","Bagalkot"
"90. Blood sugar level - very high (>160 mg/dl)23 (%)",5.9,NA,"","","KA","Bagalkot"
"91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",12.8,NA,"","","KA","Bagalkot"
"92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",11.1,NA,"","","KA","Bagalkot"
"93. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%)",3.8,NA,"","","KA","Bagalkot"
"94. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",19.1,NA,"","","KA","Bagalkot"
"95. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",13.2,NA,"","","KA","Bagalkot"
"96. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%)",4.9,NA,"","","KA","Bagalkot"
"97. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",21,NA,"","","KA","Bagalkot"
"98. Ever undergone a screening test for cervical cancer (%)",0.6,NA,"","","KA","Bagalkot"
"99. Ever undergone a breast examination for breast cancer (%)",0.2,NA,"","","KA","Bagalkot"
"100. Ever undergone an oral cavity examination for oral cancer (%)",0.2,NA,"","","KA","Bagalkot"
"101. Women age 15 years and above who use any kind of tobacco (%)",10.7,NA,"","","KA","Bagalkot"
"102. Men age 15 years and above who use any kind of tobacco (%)",33.7,NA,"","","KA","Bagalkot"
"103. Women age 15 years and above who consume alcohol (%)",0.6,NA,"","","KA","Bagalkot"
"104. Men age 15 years and above who consume alcohol (%)",14.8,NA,"","","KA","Bagalkot"
"1. Female population age 6 years and above who ever attended school (%)",85.7,84.4,"","","KA","Bangalore"
"2. Population below age 15 years (%)",20.6,22.1,"","","KA","Bangalore"
"3. Sex ratio of the total population (females per 1,000 males)",1006,898,"","","KA","Bangalore"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1163,727,"","","KA","Bangalore"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",99.3,93.6,"","","KA","Bangalore"
"6. Deaths in the last 3 years registered with the civil authority (%)",91,NA,"","","KA","Bangalore"
"7. Population living in households with electricity (%)",98.8,99.6,"","","KA","Bangalore"
"8. Population living in households with an improved drinking-water source1 (%)",99.2,97.8,"","","KA","Bangalore"
"9. Population living in households that use an improved sanitation facility2 (%)",90.4,88.4,"","","KA","Bangalore"
"10. Households using clean fuel for cooking3 (%)",97.2,93.9,"","","KA","Bangalore"
"11. Households using iodized salt (%)",99.4,95.9,"","","KA","Bangalore"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",28.8,15.4,"","","KA","Bangalore"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",23.4,NA,"Based on 25-49 unweighted cases","","KA","Bangalore"
"14. Women who are literate4 (%)",87.3,NA,"","","KA","Bangalore"
"15. Women with 10 or more years of schooling (%)",70.1,67.6,"","","KA","Bangalore"
"16. Women age 20-24 years married before age 18 years (%)",14.5,11.6,"","","KA","Bangalore"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",2,0,"","","KA","Bangalore"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",2,4.6,"","","KA","Bangalore"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",98.5,90.8,"","","KA","Bangalore"
"20. Any method6 (%)",73.2,45.3,"","","KA","Bangalore"
"21. Any modern method6 (%)",73,44.1,"","","KA","Bangalore"
"22. Female sterilization (%)",55.2,38.7,"","","KA","Bangalore"
"23. Male sterilization (%)",0,0.2,"","","KA","Bangalore"
"24. IUD/PPIUD (%)",3.4,0.8,"","","KA","Bangalore"
"25. Pill (%)",2.9,0.9,"","","KA","Bangalore"
"26. Condom (%)",9.1,3.6,"","","KA","Bangalore"
"27. Injectables (%)",0.5,0,"","","KA","Bangalore"
