"Indicator","NFHS5","NFHS4","Flag_NFHS5","Flag_NFHS4","state","district"
"1. Female population age 6 years and above who ever attended school (%)",53,52.5,"","","BR","Araria"
"2. Population below age 15 years (%)",40.5,42.7,"","","BR","Araria"
"3. Sex ratio of the total population (females per 1,000 males)",1094,1110,"","","BR","Araria"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",885,969,"","","BR","Araria"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",59.8,50.5,"","","BR","Araria"
"6. Deaths in the last 3 years registered with the civil authority (%)",25.5,NA,"","","BR","Araria"
"7. Population living in households with electricity (%)",96.2,49.9,"","","BR","Araria"
"8. Population living in households with an improved drinking-water source1 (%)",100,99.8,"","","BR","Araria"
"9. Population living in households that use an improved sanitation facility2 (%)",32.2,13.8,"","","BR","Araria"
"10. Households using clean fuel for cooking3 (%)",15.2,5.2,"","","BR","Araria"
"11. Households using iodized salt (%)",93.7,95.3,"","","BR","Araria"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",19.5,5.4,"","","BR","Araria"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",8.8,NA,"","","BR","Araria"
"14. Women who are literate4 (%)",43.7,NA,"","","BR","Araria"
"15. Women with 10 or more years of schooling (%)",16.8,12.9,"","","BR","Araria"
"16. Women age 20-24 years married before age 18 years (%)",52,48.9,"","","BR","Araria"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",6.8,6.1,"","","BR","Araria"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",13.3,11.2,"","","BR","Araria"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",36.4,17.2,"","","BR","Araria"
"20. Any method6 (%)",46,29.9,"","","BR","Araria"
"21. Any modern method6 (%)",42.8,29.1,"","","BR","Araria"
"22. Female sterilization (%)",36.2,26.2,"","","BR","Araria"
"23. Male sterilization (%)",0,0,"","","BR","Araria"
"24. IUD/PPIUD (%)",0.1,0.2,"","","BR","Araria"
"25. Pill (%)",0.9,1.3,"","","BR","Araria"
"26. Condom (%)",1.7,0.8,"","","BR","Araria"
"27. Injectables (%)",3.2,0.4,"","","BR","Araria"
"28. Total unmet need7 (%)",15.9,19.3,"","","BR","Araria"
"29. Unmet need for spacing7 (%)",6.4,9,"","","BR","Araria"
"30. Health worker ever talked to female non-users about family planning (%)",11,20,"","","BR","Araria"
"31. Current users ever told about side effects of current method8 (%)",33.9,36.9,"","","BR","Araria"
"32. Mothers who had an antenatal check-up in the first trimester (%)",41.6,36.9,"","","BR","Araria"
"33. Mothers who had at least 4 antenatal care visits (%)",25.8,16.2,"","","BR","Araria"
"34. Mothers whose last birth was protected against neonatal tetanus9 (%)",86.4,88.7,"","","BR","Araria"
"35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",17.6,7.9,"","","BR","Araria"
"36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",7.6,1.7,"","","BR","Araria"
"37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",90.6,78.8,"","","BR","Araria"
"38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",46.4,43.2,"","","BR","Araria"
"39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",3606,2425,"","","BR","Araria"
"40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",2.6,3,"","","BR","Araria"
"41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",48.2,NA,"","","BR","Araria"
"42. Institutional births (%)",66.2,51.6,"","","BR","Araria"
"43. Institutional births in public facility (%)",51.5,44,"","","BR","Araria"
"44. Home births that were conducted by skilled health personnel10 (%)",6.5,11,"","","BR","Araria"
"45. Births attended by skilled health personnel10 (%)",70.3,61.9,"","","BR","Araria"
"46. Births delivered by caesarean section (%)",9.2,5.5,"","","BR","Araria"
"47. Births in a private health facility that were delivered by caesarean section (%)",45.2,55,"","","BR","Araria"
"48. Births in a public health facility that were delivered by caesarean section (%)",4.9,3.1,"","","BR","Araria"
"49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",61.6,53.9,"","","BR","Araria"
"50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",71.1,75.6,"","","BR","Araria"
"51. Children age 12-23 months who have received BCG (%)",90,89.6,"","","BR","Araria"
"52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",67.3,66.2,"","","BR","Araria"
"53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",77.4,75.9,"","","BR","Araria"
"54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",83,72.6,"","","BR","Araria"
"55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",32.3,NA,"","","BR","Araria"
"56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",0,NA,"","","BR","Araria"
"57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",74.2,61.9,"","","BR","Araria"
"58. Children age 9-59 months who received a vitamin A dose in the last 6 months (%)",57.1,61,"","","BR","Araria"
"59. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",94.7,92.5,"","","BR","Araria"
"60. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",1.6,5.8,"","","BR","Araria"
"61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",16.3,14.4,"","","BR","Araria"
"62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",50.5,47.2,"","","BR","Araria"
"63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",9.2,17.4,"","","BR","Araria"
"64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",65.9,48.7,"","","BR","Araria"
"65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",6,3.8,"","","BR","Araria"
"66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",57.9,51.9,"","","BR","Araria"
"67. Children under age 3 years breastfed within one hour of birth15 (%)",30.6,29.6,"","","BR","Araria"
"68. Children under age 6 months exclusively breastfed16 (%)",69,51.2,"","","BR","Araria"
"69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",35.9,30.9,"Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","BR","Araria"
"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",13.1,11.9,"","","BR","Araria"
"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",10.7,NA,"Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","BR","Araria"
"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",12.8,10.7,"","","BR","Araria"
"73. Children under 5 years who are stunted (height-for-age)18 (%)",49.9,48.4,"","","BR","Araria"
"74. Children under 5 years who are wasted (weight-for-height)18 (%)",23.9,22.8,"","","BR","Araria"
"75. Children under 5 years who are severely wasted (weight-for-height)19 (%)",5.2,7.2,"","","BR","Araria"
"76. Children under 5 years who are underweight (weight-for-age)18 (%)",47.8,45.4,"","","BR","Araria"
"77. Children under 5 years who are overweight (weight-for-height)20 (%)",3,0.5,"","","BR","Araria"
"78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",30.4,38.3,"","","BR","Araria"
"79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",9.9,6.2,"","","BR","Araria"
"80. Women who have high risk waist-to-hip ratio (≥0.85) (%)",57.2,NA,"","","BR","Araria"
"81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",75.8,61.8,"","","BR","Araria"
"82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",67.7,66.3,"","","BR","Araria"
"83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",70.5,58.4,"","","BR","Araria"
"84. All women age 15-49 years who are anaemic22 (%)",67.9,65.6,"","","BR","Araria"
"85. All women age 15-19 years who are anaemic22 (%)",64,63.1,"","","BR","Araria"
