"Indicator","NFHS5","NFHS4","Flag_NFHS5","Flag_NFHS4","state","district"
"1. Female population age 6 years and above who ever attended school (%)",77.5,NA,"","","MH","Palghar"
"2. Population below age 15 years (%)",22.6,NA,"","","MH","Palghar"
"3. Sex ratio of the total population (females per 1,000 males)",963,NA,"","","MH","Palghar"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",747,NA,"","","MH","Palghar"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",98.8,NA,"","","MH","Palghar"
"6. Deaths in the last 3 years registered with the civil authority (%)",91.7,NA,"","","MH","Palghar"
"7. Population living in households with electricity (%)",97.7,NA,"","","MH","Palghar"
"8. Population living in households with an improved drinking-water source1 (%)",91.1,NA,"","","MH","Palghar"
"9. Population living in households that use an improved sanitation facility2 (%)",75.1,NA,"","","MH","Palghar"
"10. Households using clean fuel for cooking3 (%)",75,NA,"","","MH","Palghar"
"11. Households using iodized salt (%)",86.5,NA,"","","MH","Palghar"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",18.8,NA,"","","MH","Palghar"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",33.8,NA,"","","MH","Palghar"
"14. Women who are literate4 (%)",77.6,NA,"","","MH","Palghar"
"15. Women with 10 or more years of schooling (%)",48.3,NA,"","","MH","Palghar"
"16. Women age 20-24 years married before age 18 years (%)",14.6,NA,"","","MH","Palghar"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",0.9,NA,"","","MH","Palghar"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",4.7,NA,"","","MH","Palghar"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",83.8,NA,"","","MH","Palghar"
"20. Any method6 (%)",71.8,NA,"","","MH","Palghar"
"21. Any modern method6 (%)",66,NA,"","","MH","Palghar"
"22. Female sterilization (%)",49.6,NA,"","","MH","Palghar"
"23. Male sterilization (%)",0.1,NA,"","","MH","Palghar"
"24. IUD/PPIUD (%)",1.2,NA,"","","MH","Palghar"
"25. Pill (%)",1.9,NA,"","","MH","Palghar"
"26. Condom (%)",12.4,NA,"","","MH","Palghar"
"27. Injectables (%)",0.2,NA,"","","MH","Palghar"
"28. Total unmet need7 (%)",8.2,NA,"","","MH","Palghar"
"29. Unmet need for spacing7 (%)",4,NA,"","","MH","Palghar"
"30. Health worker ever talked to female non-users about family planning (%)",21.6,NA,"","","MH","Palghar"
"31. Current users ever told about side effects of current method8 (%)",53,NA,"","","MH","Palghar"
"32. Mothers who had an antenatal check-up in the first trimester (%)",84.7,NA,"","","MH","Palghar"
"33. Mothers who had at least 4 antenatal care visits (%)",86.3,NA,"","","MH","Palghar"
"34. Mothers whose last birth was protected against neonatal tetanus9 (%)",94.4,NA,"","","MH","Palghar"
"35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",65.3,NA,"","","MH","Palghar"
"36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",44.3,NA,"","","MH","Palghar"
"37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",92.9,NA,"","","MH","Palghar"
"38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",97,NA,"","","MH","Palghar"
"39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",1948,NA,"","","MH","Palghar"
"40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","","MH","Palghar"
"41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",96.5,NA,"","","MH","Palghar"
"42. Institutional births (%)",94.2,NA,"","","MH","Palghar"
"43. Institutional births in public facility (%)",65.9,NA,"","","MH","Palghar"
"44. Home births that were conducted by skilled health personnel10 (%)",1.9,NA,"","","MH","Palghar"
"45. Births attended by skilled health personnel10 (%)",95.7,NA,"","","MH","Palghar"
"46. Births delivered by caesarean section (%)",22.6,NA,"","","MH","Palghar"
"47. Births in a private health facility that were delivered by caesarean section (%)",54.4,NA,"","","MH","Palghar"
"48. Births in a public health facility that were delivered by caesarean section (%)",10.9,NA,"","","MH","Palghar"
"49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",94,NA,"Based on 25-49 unweighted cases","","MH","Palghar"
"50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",90.8,NA,"Based on 25-49 unweighted cases","","MH","Palghar"
"51. Children age 12-23 months who have received BCG (%)",100,NA,"Based on 25-49 unweighted cases","","MH","Palghar"
"52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",94,NA,"Based on 25-49 unweighted cases","","MH","Palghar"
"53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",100,NA,"Based on 25-49 unweighted cases","","MH","Palghar"
"54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",100,NA,"Based on 25-49 unweighted cases","","MH","Palghar"
"55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",31.3,NA,"Based on 25-49 unweighted cases","","MH","Palghar"
"56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",0,NA,"Based on 25-49 unweighted cases","","MH","Palghar"
"57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",96.8,NA,"Based on 25-49 unweighted cases","","MH","Palghar"
"58. Children age 9-59 months who received a vitamin A dose in the last 6 months (%)",72.7,NA,"","","MH","Palghar"
"59. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",100,NA,"Based on 25-49 unweighted cases","","MH","Palghar"
"60. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",0,NA,"Based on 25-49 unweighted cases","","MH","Palghar"
"61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",1.8,NA,"","","MH","Palghar"
"62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","","MH","Palghar"
"63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","","MH","Palghar"
"64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","","MH","Palghar"
"65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",4.7,NA,"","","MH","Palghar"
"66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",70.9,NA,"Based on 25-49 unweighted cases","","MH","Palghar"
"67. Children under age 3 years breastfed within one hour of birth15 (%)",60.1,NA,"","","MH","Palghar"
"68. Children under age 6 months exclusively breastfed16 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","","MH","Palghar"
"69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","","MH","Palghar"
"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",2.3,NA,"Based on 25-49 unweighted cases","","MH","Palghar"
"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,NA,"Percentage not shown; based on fewer than 25 unweighted cases","","MH","Palghar"
"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",5.2,NA,"","","MH","Palghar"
"73. Children under 5 years who are stunted (height-for-age)18 (%)",33,NA,"","","MH","Palghar"
"74. Children under 5 years who are wasted (weight-for-height)18 (%)",23.9,NA,"","","MH","Palghar"
"75. Children under 5 years who are severely wasted (weight-for-height)19 (%)",10.5,NA,"","","MH","Palghar"
"76. Children under 5 years who are underweight (weight-for-age)18 (%)",37.1,NA,"","","MH","Palghar"
"77. Children under 5 years who are overweight (weight-for-height)20 (%)",9.3,NA,"","","MH","Palghar"
"78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",27.9,NA,"","","MH","Palghar"
"79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",17,NA,"","","MH","Palghar"
"80. Women who have high risk waist-to-hip ratio (≥0.85) (%)",61.9,NA,"","","MH","Palghar"
"81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",70.3,NA,"","","MH","Palghar"
"82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",57.2,NA,"","","MH","Palghar"
"83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",48.5,NA,"Based on 25-49 unweighted cases","","MH","Palghar"
"84. All women age 15-49 years who are anaemic22 (%)",56.9,NA,"","","MH","Palghar"
"85. All women age 15-19 years who are anaemic22 (%)",52.1,NA,"","","MH","Palghar"
"86. Blood sugar level - high (141-160 mg/dl)23 (%)",4.9,NA,"","","MH","Palghar"
"87. Blood sugar level - very high (>160 mg/dl)23 (%)",6.1,NA,"","","MH","Palghar"
"88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",12.2,NA,"","","MH","Palghar"
"89. Blood sugar level - high (141-160 mg/dl)23 (%)",6.5,NA,"","","MH","Palghar"
"90. Blood sugar level - very high (>160 mg/dl)23 (%)",5.6,NA,"","","MH","Palghar"
"91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",12.9,NA,"","","MH","Palghar"
"92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",16,NA,"","","MH","Palghar"
"93. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%)",3.6,NA,"","","MH","Palghar"
"94. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",23.4,NA,"","","MH","Palghar"
"95. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",16,NA,"","","MH","Palghar"
"96. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%)",4.1,NA,"","","MH","Palghar"
"97. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",22.4,NA,"","","MH","Palghar"
"98.Ever undergone a screening test for cervical cancer (%)",1.8,NA,"","","MH","Palghar"
"99.Ever undergone a breast examination for breast cancer (%)",0.4,NA,"","","MH","Palghar"
"100. Ever undergone an oral cavity examination for oral cancer (%)",0,NA,"","","MH","Palghar"
"101. Women age 15 years and above who use any kind of tobacco (%)",8.3,NA,"","","MH","Palghar"
"102. Men age 15 years and above who use any kind of tobacco (%)",26.2,NA,"","","MH","Palghar"
"103. Women age 15 years and above who consume alcohol (%)",1.4,NA,"","","MH","Palghar"
"104. Men age 15 years and above who consume alcohol (%)",22.4,NA,"","","MH","Palghar"
"1. Female population age 6 years and above who ever attended school (%)",86.1,NA,"","","MH","Thane"
"2. Population below age 15 years (%)",22.5,NA,"","","MH","Thane"
"3. Sex ratio of the total population (females per 1,000 males)",982,NA,"","","MH","Thane"
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1029,NA,"","","MH","Thane"
"5. Children under age 5 years whose birth was registered with the civil authority (%)",96.7,NA,"","","MH","Thane"
"6. Deaths in the last 3 years registered with the civil authority (%)",91.1,NA,"Based on 25-49 unweighted cases","","MH","Thane"
"7. Population living in households with electricity (%)",99.3,NA,"","","MH","Thane"
"8. Population living in households with an improved drinking-water source1 (%)",96.7,NA,"","","MH","Thane"
"9. Population living in households that use an improved sanitation facility2 (%)",74.7,NA,"","","MH","Thane"
"10. Households using clean fuel for cooking3 (%)",90.4,NA,"","","MH","Thane"
"11. Households using iodized salt (%)",97.5,NA,"","","MH","Thane"
"12. Households with any usual member covered under a health insurance/financing scheme (%)",22.7,NA,"","","MH","Thane"
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",15.6,NA,"Based on 25-49 unweighted cases","","MH","Thane"
"14. Women who are literate4 (%)",90.5,NA,"","","MH","Thane"
"15. Women with 10 or more years of schooling (%)",55.9,NA,"","","MH","Thane"
"16. Women age 20-24 years married before age 18 years (%)",18.4,NA,"","","MH","Thane"
"17. Births in the 5 years preceding the survey that are third or higher order (%)",1.9,NA,"","","MH","Thane"
"18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",4,NA,"","","MH","Thane"
"19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%)",91.5,NA,"","","MH","Thane"
"20. Any method6 (%)",61.6,NA,"","","MH","Thane"
"21. Any modern method6 (%)",57.1,NA,"","","MH","Thane"
"22. Female sterilization (%)",37.6,NA,"","","MH","Thane"
"23. Male sterilization (%)",0,NA,"","","MH","Thane"
"24. IUD/PPIUD (%)",1.7,NA,"","","MH","Thane"
"25. Pill (%)",1.7,NA,"","","MH","Thane"
